State/UT,1991,2001,2011
Andaman & Nicobar Islands *,818,846,844
Andhra Pradesh,972,978,933
Arunachal Pradesh,859,901,901
Assam,923,932,951
Bihar,907,921,920
Chandigarh,790,773,777
Chhatisgarh,985,990,980
Delhi,827,821,792
Goa,967,960,953
Gujarat,934,921,835
Haryana,865,861,873
Himachal Pradesh,976,970,896
Jammu & Kashmir,918,900,823
Jharkhand,922,941,938
Karnataka,960,964,908
Kerala,1036,1058,1060
Lakshadweep,943,947,948
Madhya Pradesh,912,920,912
Maharashtra,934,922,919
Manipur,958,978,1004
Meghalaya,955,975,968
Mizoram,921,938,952
Nagaland,886,909,911
Orissa,971,972,938
Pondicherry,979,1001,990
Punjab,882,874,824
Rajasthan,910,922,897
Sikkim,878,875,844
Tamil Nadu,974,986,957
Tripura,945,950,951
Uttar Pradesh,876,898,888
Uttaranchal,936,964,887
West Bengal,917,934,829
India,927,933,844
